algorithm,size,mean_time,std_time,best_time,worst_time,mean_memory,std_memory,mean_expansions_inferences,std_expansions_inferences,success_rate
forward_chaining,4x4,0.1045086549827829,0.03494971503403234,0.08491229987703264,0.24169540009461343,8.53359375,0.4220280241478265,25.2,3.8196169551684793,1.0
backward_chaining,4x4,0.18433878503274173,0.03958861464448942,0.14750060020014644,0.2975248000584543,325.0837890625,63.30968403761695,0,0.0,1.0
a_star,4x4,0.1421491999644786,0.031636469179790586,0.11304259998723865,0.25256369984708726,48.213671875,1.5951246067472522,9.4,1.2732056517228265,1.0
backtracking,4x4,0.09548762500053272,0.00432917308932476,0.08622399996966124,0.10333589999936521,1.690625,0.1094161106949304,25.6,7.829767758873486,1.0
brute_force,4x4,2.7375396050512792,3.2288898410579123,0.3651154001709074,7.134404600132257,4.4484375,0.1094161106949304,185343.4,235424.10985337212,1.0
forward_chaining,5x5,0.10835474999621511,0.030057533825324834,0.0888839999679476,0.19431699998676777,21.96875,0.0,52,4.103913408340617,1.0
backward_chaining,5x5,0.2738000749843195,0.026613230272734757,0.21903169993311167,0.3360673999413848,655.4521484375,10.034348824348456,0,0.0,1.0
a_star,5x5,0.2151724199997261,0.06482708218755256,0.1619901000522077,0.44555569998919964,95.26953125,1.9197016822218314,14,1.0259783520851542,1.0
backtracking,5x5,0.09650026003364473,0.015158461096210121,0.08836599998176098,0.16004240000620484,2.76171875,0.04408500731615896,40,7.1818484645960785,1.0
brute_force,5x5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_chaining,6x6,0.09632693002931773,0.009187255372500319,0.08791260002180934,0.11113510001450777,30.390625,0.0,92.5,7.905694150420948,1.0
backward_chaining,6x6,3.3177508149296044,2.6172862283269245,0.7464998001232743,7.214553100056946,878.50830078125,9.34051092511118,0,0.0,1.0
a_star,6x6,0.3291652400046587,0.051567083423421416,0.28267550002783537,0.43799269990995526,167.265625,3.4587411908091648,19.5,1.5811388300841898,1.0
backtracking,6x6,0.09474617997184395,0.002929421311225119,0.08887379989027977,0.09925070009194314,4.76171875,0.4323426488511456,192.5,74.31352501395692,1.0
brute_force,6x6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_chaining,7x7,0.09779884000308811,0.006281383148060039,0.09132300014607608,0.11006619990803301,42.4609375,0.0,150,0.0,1.0
backward_chaining,7x7,23.067303390792485,25.83846448811666,8.78126550000161,100.44710490014404,1150.0510475852273,3.314269232975886,0,0.0,0.55
a_star,7x7,0.5466340300394222,0.03619037871702809,0.5044382999185473,0.6101555000059307,262.265625,0.3294039229342062,26,0.0,1.0
backtracking,7x7,0.09422440002672375,0.005085777451371967,0.08950060000643134,0.10646239994093776,4.8984375,0.1647019614671031,219,105.40925533894598,1.0
brute_force,7x7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_chaining,9x9,0.09852617001160979,0.010445631392392817,0.08723860001191497,0.1250398000702262,66.9609375,0.0,344,0.0,1.0
backward_chaining,9x9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a_star,9x9,2.204076319979504,0.1249873857896093,2.103823499986902,2.4951339999679476,567.9375,0.0,44,0.0,1.0
backtracking,9x9,0.11539841003250331,0.006720264971701237,0.10707850009202957,0.13204609998501837,12.1015625,0.0,2511,0.0,1.0
brute_force,9x9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
